Data,Hora,Year,Month,Valor,Descrição,,
05/07/22,12:38,2022,Jul,10.00,Transferência_LuchtTransportesLtda,,"10,00"
11/10/22,09:53,2022,Out,-10.00,Beef & Cia Cu,,"-10,00"
11/10/22,09:55,2022,Out,300.00,Transferência_LuchtTransportesLtda,,"300,00"
11/10/22,09:56,2022,Out,-82.55,Beef & Cia Cu,,"-82,55"
11/10/22,09:58,2022,Out,-40.00,Auto Posto Jiris Cu,,"-40,00"
11/10/22,10:36,2022,Out,-52.00,Grantsautopecas Cu,,"-52,00"
11/10/22,12:28,2022,Out,250.00,Transferência_LuchtTransportesLtda,,"250,00"
11/10/22,12:33,2022,Out,-261.07,Beef & Cia Cu,,"-261,07"
11/10/22,14:47,2022,Out,350.00,Transferência_LuchtTransportesLtda,,"350,00"
11/10/22,16:04,2022,Out,-400.00,Pix Enviado-Conta Transacional,,"-400,00"
12/10/22,10:11,2022,Out,-15.50,Panif Sao Paulo Cu,,"-15,50"
12/10/22,12:04,2022,Out,100.00,Transferência_LuchtTransportesLtda,,"100,00"
12/10/22,12:18,2022,Out,-102.50,Marcosaugusto Cu,,"-102,50"
12/10/22,12:19,2022,Out,-2.80,Marcosaugusto Cu,,"-2,80"
12/10/22,17:39,2022,Out,-34.00,Auto Posto Jiris Cu,,"-34,00"
13/10/22,09:57,2022,Out,3892.00,Transferência entre Contas,,"3892,00"
13/10/22,12:36,2022,Out,-266.17,Pagamento de Contas,,"-266,17"
13/10/22,12:38,2022,Out,-1000.00,Transferência Bancária,,"-1000,00"
14/10/22,06:06,2022,Out,0.04,Remuneração-Cta Pgto,,"0,04"
14/10/22,12:30,2022,Out,-52.66,Beef & Cia Cu,,"-52,66"
14/10/22,12:45,2022,Out,-1500.00,Pix Enviado-Conta Transacional,,"-1500,00"
14/10/22,12:53,2022,Out,-92.34,Supermercado Poema Cu,,"-92,34"
14/10/22,13:04,2022,Out,-60.70,Maurorosada Cu,,"-60,70"
14/10/22,19:00,2022,Out,-100.00,Cutisque Cu,,"-100,00"
14/10/22,20:10,2022,Out,-46.00,Alessandro Carvalho Cu,,"-46,00"
14/10/22,21:06,2022,Out,-66.00,Skina Da Pizza Ltda Cu,,"-66,00"
15/10/22,01:13,2022,Out,-11.00,Dillieburgere Cu,,"-11,00"
15/10/22,06:08,2022,Out,0.04,Remuneração-Cta Pgto,,"0,04"
15/10/22,08:26,2022,Out,-30.00,Auto Posto Jiris Cu,,"-30,00"
15/10/22,12:08,2022,Out,-34.03,Supermercado Poema Cu,,"-34,03"
15/10/22,15:00,2022,Out,-144.00,Fernandasilva Cu,,"-144,00"
16/10/22,06:06,2022,Out,0.03,Remuneração-Cta Pgto,,"0,03"
16/10/22,09:45,2022,Out,-30.00,Auto Posto Jiris Cu,,"-30,00"
16/10/22,10:54,2022,Out,-66.90,Supermercado Poema Cu,,"-66,90"
16/10/22,11:15,2022,Out,-127.00,Beef & Cia Cu,,"-127,00"
16/10/22,11:24,2022,Out,-7.00,Sumup*Panificadora Sa,,"-7,00"
16/10/22,12:21,2022,Out,-31.00,Marcosaugusto Cu,,"-31,00"
16/10/22,14:06,2022,Out,-100.00,Auto Posto Jiris Cu,,"-100,00"
16/10/22,15:28,2022,Out,-20.99,Murilo Augusto De Oliv Cu,,"-20,99"
